municipality,name,iata_code,coordinates
Quincy,Gansner Field,GNF,"39.943902, -120.945"
Chiloquin,Chiloquin State Airport,CHZ,"42.57944, -121.879063"
California,St. Mary's County Regional Airport,LTW,"38.315399, -76.550102"
Arapahoe,Arapahoe Municipal Airport,AHF,"40.341576, -99.907839"
Princeton/Rocky Hill,Princeton Airport,PCT,"40.3992004395, -74.6588973999"
Calverton,Calverton Executive Airpark,CTO,"40.9151, -72.791901"
Afton,Grand Lake Regional Airport,NRI,"36.577598571777, -94.86190032959"
Grants Pass,Grants Pass Airport,GTP,"42.510101, -123.388"
Niles,Jerry Tyler Memorial Airport,NLE,"41.835899353027, -86.225196838379"
Electric City,Grand Coulee Dam Airport,GCD,"47.922000885, -119.083000183"
Grand Canyon,Valle Airport,VLE,"35.65060043335, -112.14800262451"
Perry,Perry-Foley Airport,FPY,"30.0693, -83.580597"
Manti,Manti-Ephraim Airport,NTJ,"39.32910156, -111.6149979"
Salina,Salina Gunnison Airport,SBO,"39.029098510699995, -111.837997437"
Manville,Central Jersey Regional Airport,JVI,"40.5243988037, -74.59839630130001"
Eunice,Eunice Airport,UCE,"30.466299057007, -92.423797607422"
Gold Beach,Gold Beach Municipal Airport,GOL,"42.41339874, -124.4240036"
Kentland,Kentland Municipal Airport,KKT,"40.758733, -87.429457"
Prentice,Prentice Airport,PRW,"45.538313, -90.275978"
Eagle Pass,Maverick County Memorial International Airport,EGP,"28.859766, -100.516682"
Boulder City,Boulder City Municipal Airport,BLD,"35.947161, -114.858799"
Mesquite,Mesquite Airport,MFH,"36.833105, -114.055928"
East Tawas,Iosco County Airport,ECA,"44.312801, -83.422302"
Florence,Florence Municipal Airport,FMU,"43.98279953, -124.111000061"
Anacortes,Anacortes Airport,OTS,"48.498513, -122.662513"
Roosevelt,Roosevelt Municipal Airport,ROL,"40.278301, -110.051003"
Canton,Canton Municipal Airport,CTK,"43.308842, -96.571225"
Paonia,North Fork Valley Airport,WPO,"38.831412, -107.645763"
Antlers,Antlers Municipal Airport,ATE,"34.1926002502, -95.6499023438"
Austin,Austin Airport,ASQ,"39.467708, -117.197576"
Apalachicola,Apalachicola Regional Airport,AAF,"29.727501, -85.027496"
Allentown/Bethlehem,Lehigh Valley International Airport,ABE,"40.651773, -75.442797"
Abilene,Abilene Regional Airport,ABI,"32.4113006592, -99.68190002440001"
Albuquerque,Albuquerque International Sunport,ABQ,"35.039976, -106.608925"
Aberdeen,Aberdeen Regional Airport,ABR,"45.449100494384766, -98.42179870605469"
Albany,Southwest Georgia Regional Airport,ABY,"31.532946, -84.196215"
Bellaire,Antrim County Airport,ACB,"44.988602, -85.198402"
Nantucket,Nantucket Memorial Airport,ACK,"41.25310135, -70.06020355"
Waco,Waco Regional Airport,ACT,"31.611299514770508, -97.23049926757812"
Arcata/Eureka,California Redwood Coast-Humboldt County Airport,ACV,"40.978101, -124.109"
Atlantic City,Atlantic City International Airport,ACY,"39.456201, -74.577511"
Adrian,Lenawee County Airport,ADG,"41.866205, -84.077983"
Ada,Ada Regional Airport,ADT,"34.805214, -96.671988"
Ardmore,Ardmore Municipal Airport,ADM,"34.30301, -97.0196342"
Dallas,Addison Airport,ADS,"32.9686012268, -96.8364028931"
Camp Springs,Joint Base Andrews,ADW,"38.810799, -76.866997"
Kake,Kake Seaplane Base,KAE,"56.973, -133.945999"
Albert Lea,Albert Lea Municipal Airport,AEL,"43.68149948, -93.36720276"
Alexandria,Alexandria International Airport,AEX,"31.325828, -92.546702"
Karato,Karato Airport,KAF,"-6.2655, 155.3052"
Colorado Springs,USAF Academy Airfield,AFF,"38.972497, -104.821125"
